GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21
0272;Межрайонная инспекция Федеральной налоговой службы № 30 по Республике Башкортостан;,450095,,,Уфа г,,Левитана ул,14,,;347-281-19-00;Код ОКПО:31227246 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0273;Межрайонная инспекция Федеральной налоговой службы № 31 по Республике Башкортостан;,450112,,,Уфа г,,Ульяновых ул,18,,;347-242-02-45;Код ОКПО:31227252 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0274;Межрайонная инспекция Федеральной налоговой службы № 40 по Республике Башкортостан;,450077,,,Уфа г,,Коммунистическая ул,59,,;347-229-79-38;Код ОКПО:31227269 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0276;Межрайонная инспекция Федеральной налоговой службы № 2 по Республике Башкортостан;,450055,,,Уфа г,,Октября пр-кт,144/3,корп2,;347-292-17-42;Код ОКПО:31227281Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0277;Межрайонная инспекция Федеральной налоговой службы № 33 по Республике Башкортостан;,450075,,,Уфа г,,Октября пр-кт,95,2,;347-277-27-60;Код ОКПО:31227298 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0278;Межрайонная инспекция Федеральной налоговой службы № 1 по Республике Башкортостан;,450005,,,Уфа г,,50 лет Октября ул,13,1,;347-272-74-77;Код ОКПО:31227306 Режим работы Понедельник, среда: 9.00 - 18.00 вторник, четверг: 9.00 - 20.00 пятница: 9.00 - 16.45 вторая и четвертая субботы месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0280;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,,Уфа г,,Красина ул,52,,;347-229-76-67 347-251-01-43;Код ОКПО:88111351 Режим работы Понедельник-четверг: 8.30 - 17.30 пятница: 8.30 - 16.15 суббота, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80701000;0274049939;027501001;ГРКЦ НБ РЕСП. БАШКОРТОСТАН БАНКА РОССИИ;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;,450076,,, Уфа г,, Красина ул, д 52,,;(347) 251-01-43;8.30-17.30, перерыв 12.30-13.15
0309;Межрайонная инспекция Федеральной налоговой службы №8 по Республике Бурятия;,671200,Бурятия Респ,Кабанский р-н,,Кабанск с, Кооперативная ул,12,,;8-(30138) 4-16-84;Код ОКПО:73225741 Режим работы с 8ч.30мин. до 17ч.00 мин., перерыв 12ч.00 мин. до 13ч.30 мин.;УФК по Республике Бурятия;81701000;0323062117;032601001;ГРКЦ НБ РЕСП. БУРЯТИЯ БАНКА РОССИИ;048142001;;40101810600000010002;03048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия;03048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия
0317;Межрайонная инспекция Федеральной налоговой службы №4 по Республике Бурятия;,671717,Бурятия Респ,Северобайкальский р-н,Северобайкальск г,,Морских Пехотинцев ул,5,,;8-(30130) 22-3-56;Код ОКПО:31612524 Режим работы с 8ч.30мин. до 17ч.00 мин., перерыв 12ч.00 мин. до 13ч.30 мин.;УФК по Республике Бурятия;81701000;0323062117;032601001;ГРКЦ НБ РЕСП. БУРЯТИЯ БАНКА РОССИИ;048142001;;40101810600000010002;03040;Межрайонная инспекция Федеральной налоговой службы № 4 по Республике Бурятия;,671701, Бурятия Респ,, Северобайкальск г,, Морских пехотинцев ул, д 7,,;239-20563239-22356239-20297;НЕ ДЕЙСТВУЕТ;03040;Межрайонная инспекция Федеральной налоговой службы № 4 по Республике Бурятия;,671701, Бурятия Респ,, Северобайкальск г,, Морских пехотинцев ул, д 7,,;239-20563239-22356239-20297;НЕ ДЕЙСТВУЕТ
0318;Межрайонная инспекция Федеральной налоговой службы №3 по Республике Бурятия;,671280,Бурятия Респ,Селенгинский р-н,Гусиноозерск г,,Степная ул,17,А,;8-(30145) 43-6-87;Код ОКПО:73225847 Режим работы с 8ч.30мин. до 17ч.00 мин., перерыв 12ч.00 мин. до 13ч.30 мин.;УФК по Республике Бурятия;81701000;0323062117;032601001;ГРКЦ НБ РЕСП. БУРЯТИЯ БАНКА РОССИИ;048142001;;40101810600000010002;03048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия;03048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия
0323;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Бурятия;,670042,Бурятия Респ,,Улан-Удэ г,,Сахьяновой ул,1а,,;8-(301-2) 433043;Код ОКПО:36314151 Режим работы с 8ч.30мин. до 17ч.30 мин., перерыв 12ч.00 мин. до 13ч.00 мин.;УФК по Республике Бурятия;81701000;0323062117;032601001;ГРКЦ НБ РЕСП. БУРЯТИЯ БАНКА РОССИИ;048142001;;40101810600000010002;03048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия;03048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия
0326;Межрайонная инспекция Федеральной налоговой службы №2 по Республике Бурятия;,670000,Бурятия Респ,,Улан-Удэ г,,Борсоева ул,11,А,;8-(301-2) 29-73-34;Код ОКПО:26050372 Режим работы с 8ч.30мин. до 17ч.30 мин., перерыв 12ч.00 мин. до 13ч.00 мин.;УФК по Республике Бурятия;81701000;0323062117;032601001;ГРКЦ НБ РЕСП. БУРЯТИЯ БАНКА РОССИИ;048142001;;40101810600000010002;03048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия;03048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия
0327;Межрайонная инспекция Федеральной налоговой службы №9 по Республике Бурятия;643,670000,Бурятия Респ,,Улан-Удэ г,,Коммунистическая ул,50,,;8-(301-2) 21-22-19;Код ОКПО:80972510 Режим работы с 8ч.30мин. до 17ч.30 мин., перерыв 12ч.00 мин. до 13ч.00 мин.;УФК по Республике Бурятия;81701000;0323062117;032601001;ГРКЦ НБ РЕСП. БУРЯТИЯ БАНКА РОССИИ;048142001;;40101810600000010002;03048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия;03048;Межрайонная инспекция Федеральной налоговой службы № 9 по Республике Бурятия;,670000,,, Улан-Удэ г,, Коммунистическая ул, д 50,,;301-2-21-22-19;Об организации деятельности Межрайонной инспекции Федеральной налоговой службы № 9 по Республике Бурятия
0404;Межрайонная инспекция Федеральной налоговой службы №2 по Республике Алтай;,649440,Алтай Респ,Онгудайский р-н,,Онгудай с,Победы ул,28,,;(38845) 22-775 "горячая линия" - (38845) 22-381, 22-330;Код ОКПО:00079295, часы работы: понедельник - среда, пятница с 9.00 - 18.00, пятница 9.00 - 17.00, обед с 13.00 - 13.48 вторник-четверг с 09.00. по 20.00 2 и 4 суббота месяца ч 10.00 до 15.00;Управление Федерального Казначейства по Республике Алтай;84701000;0411008817;041101001;ГРКЦ НБ РЕСП. АЛТАЙ БАНКА РОССИИ;048405001;;40101810500000010000;04014;Межрайонная инспекция Федеральной налоговой службы №2 по Республике Алтай;643, 649440,Республика Алтай, Онгудайский район, Онгудай с, ул.Победы 28,;38845-22-381, 22-330;Код ОКПО:00079295, часы работы: понедельник - среда, пятница с 9.00 - 18.00, пятница 9.00 - 17.00, обед с 13.00 - 13.48 вторник-четверг с 09.00. по 20.00 2 и 4 суббота месяца ч 10.00 до 15.00;04014;Межрайонная инспекция Федеральной налоговой службы №2 по Республике Алтай;643, 649440,Республика Алтай, Онгудайский район, Онгудай с, ул.Победы 28,;38845-22-381, 22-330;Код ОКПО:00079295, часы работы: понедельник - среда, пятница с 9.00 - 18.00, пятница 9.00 - 17.00, обед с 13.00 - 13.48 вторник-четверг с 09.00. по 20.00 2 и 4 суббота месяца ч 10.00 до 15.00
0411;Межрайонная инспекция Федеральной налоговой службы №5 по Республике Алтай;,649000,,,Горно-Алтайск г,,Чорос-Гуркина ул.,40,,;(38822) 92-999 "горячая линия" - (388-22) 92-842;Код ОКПО:00079295, часы работы: понедельник - среда, пятница с 9.00 - 18.00, пятница 9.00 - 17.00, обед с 13.00 - 13.48 вторник-четверг с 09.00. по 20.00 2 и 4 суббота месяца ч 10.00 до 15.00;Управление Федерального Казначейства по Республике Алтай;84701000;0411008817;041101001;ГРКЦ НБ РЕСП. АЛТАЙ БАНКА РОССИИ;048405001;;40101810500000010000;04017;Межрайонная инспекция Федеральной налоговой службы №5 по Республике Алтай;643, 649000, Республика Алтай, г.Горно-Алтайск, ул. Чорос-Гуркина, 40;38822-92-842;Код ОКПО:00079295, часы работы: понедельник - среда, пятница с 9.00 - 18.00, пятница 9.00 - 17.00, обед с 13.00 - 13.48 вторник-четверг с 09.00. по 20.00 2 и 4 суббота месяца ч 10.00 до 15.00;04017;Межрайонная инспекция Федеральной налоговой службы №5 по Республике Алтай;643, 649000, Республика Алтай, г.Горно-Алтайск, ул. Чорос-Гуркина, 40;38822-92-842;Код ОКПО:00079295, часы работы: понедельник - среда, пятница с 9.00 - 18.00, пятница 9.00 - 17.00, обед с 13.00 - 13.48 вторник-четверг с 09.00. по 20.00 2 и 4 суббота месяца ч 10.00 до 15.00
0506;Межрайонная инспекция Федеральной налоговой службы № 12 по Республике Дагестан;,368970,Дагестан Респ,Ботлихский р-н,,Ботлих с,,,,;271-22141;Код ОКПО: 73915032. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни;Управление Федерального казначейства по Республике Дагестан;82701000;0562043725;056201001;ГРКЦ Национального Банка Республики Дагестан Банка России г. Махачкала;048209001;;40101810600000010021;05073;Межрайонная инспекция Федеральной налоговой службы № 12 по Республике Дагестан;368970,РФ,РД,Ботлихский район,Ботлих с,;271-22050;Режим работы: с 8-00 до 17-00, пятница с 8-00 до 15-45, нерабочие дни: суббота, воскресенье;05073;Межрайонная инспекция Федеральной налоговой службы № 12 по Республике Дагестан;368970,РФ,РД,Ботлихский район,Ботлих с,;271-22050;Режим работы: с 8-00 до 17-00, пятница с 8-00 до 15-45, нерабочие дни: суббота, воскресенье
0507;Межрайонная инспекция Федеральной налоговой службы № 7 по Республике Дагестан;,368200,Дагестан Респ,,Буйнакск г.Чкалова ул,31,,;237-25024;Код ОКПО: 70497901. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни;Управление Федерального казначейства по Республике Дагестан;82701000;0562043725;056201001;ГРКЦ Национального Банка Республики Дагестан Банка России г. Махачкала;048209001;;40101810600000010021;05061;Межрайонная инспекция Федеральной налоговой службы № 7 по Республике Дагестан;,368200, Дагестан Респ,, Буйнакск г,, Чкалова ул, д 31,,;238-26626;Режим работы: с 9-00 до 18-00, пятница с 9-00 до 17-00, нерабочие дни: суббота, воскресенье;05061;Межрайонная инспекция Федеральной налоговой службы № 7 по Республике Дагестан;,368200, Дагестан Респ,, Буйнакск г,, Чкалова ул, д 31,,;238-26626;Режим работы: с 9-00 до 18-00, пятница с 9-00 до 17-00, нерабочие дни: суббота, воскресенье
